sex treatment reaction_time_ms
male control 147.7
male control 178.8
male control 179.3
male control 153.7
male control 162.6
male control 133.9
male control 178.9
male control 161.8
male control 123.2
male control 173.6
male control 160.2
male control 164.4
male control 146.6
male control 157.3
male control 147.4
male control 160.2
male control 163.9
male control 175.8
male control 160.5
male control 210.2
male drug 141.7
male drug 109
male drug 133.5
male drug 162.8
male drug 178.7
male drug 174.9
male drug 134.4
male drug 155.5
male drug 166
male drug 143.7
male drug 190.4
male drug 162.5
male drug 126.2
male drug 124.5
male drug 148.7
male drug 125.7
male drug 160
male drug 159.1
male drug 162.9
male drug 183
female control 226.3
female control 183.6
female control 203.4
female control 227.3
female control 201
female control 175
female control 189.3
female control 179.8
female control 159.9
female control 174.3
female control 204.2
female control 114.6
female control 203.4
female control 210
female control 156.5
female control 146.8
female control 216
female control 221.6
female control 183.4
female control 160
female drug 98.4
female drug 111.2
female drug 96.5
female drug 123.3
female drug 140
female drug 111.2
female drug 107.2
female drug 109.3
female drug 105.8
female drug 100.7
female drug 85.9
female drug 74.6
female drug 137.5
female drug 127.8
female drug 76.7
female drug 83.3
female drug 99.1
female drug 116.2
female drug 119.2
female drug 87.2
